date,home_team,home_continent,away_team,away_continent,team,scorer,minute,own_goal,penalty
7/7/1989,Paraguay,South America,Venezuela,South America,Paraguay,Gustavo Neffa,41,FALSE,FALSE
7/7/1989,Paraguay,South America,Venezuela,South America,Paraguay,Buenaventura Ferreira,50,FALSE,FALSE
7/7/1989,Paraguay,South America,Venezuela,South America,Paraguay,Buenaventura Ferreira,73,FALSE,FALSE
7/8/1989,Bolivia,South America,Chile,South America,Chile,Juvenal Olmos,9,FALSE,FALSE
7/8/1989,Bolivia,South America,Chile,South America,Chile,Jaime Patricio Ramírez,10,FALSE,FALSE
7/8/1989,Bolivia,South America,Chile,South America,Chile,Fernando Astengo,55,FALSE,FALSE
7/8/1989,Bolivia,South America,Chile,South America,Chile,Jaime Pizarro,68,FALSE,TRUE
7/8/1989,Bolivia,South America,Chile,South America,Chile,Óscar Reyes,85,FALSE,FALSE
7/8/1989,Uruguay,South America,Argentina,South America,Argentina,Claudio Caniggia,69,FALSE,FALSE
7/9/1989,Brazil,South America,Paraguay,South America,Brazil,Bebeto,47,FALSE,FALSE
7/9/1989,Brazil,South America,Paraguay,South America,Brazil,Bebeto,82,FALSE,FALSE
7/9/1989,Colombia,South America,Peru,South America,Colombia,Arnoldo Iguarán,32,FALSE,FALSE
7/9/1989,Colombia,South America,Peru,South America,Peru,Jorge Hirano,43,FALSE,FALSE
7/9/1989,North Korea,Asia,Indonesia,Asia,North Korea,Chu Gyong-Sik,40,FALSE,FALSE
7/9/1989,North Korea,Asia,Indonesia,Asia,North Korea,Han Hyong-Il,64,FALSE,FALSE
7/9/1989,North Korea,Asia,Indonesia,Asia,Indonesia,Inyong Lolumbuman,73,FALSE,FALSE
7/10/1989,Chile,South America,Ecuador,South America,Chile,Juvenal Olmos,44,FALSE,FALSE
7/10/1989,Chile,South America,Ecuador,South America,Chile,Juan Carlos Letelier,88,FALSE,FALSE
7/10/1989,Chile,South America,Ecuador,South America,Ecuador,Ney Avilés,89,FALSE,FALSE
7/12/1989,Brazil,South America,Argentina,South America,Brazil,Bebeto,48,FALSE,FALSE
7/12/1989,Brazil,South America,Argentina,South America,Brazil,Romário,55,FALSE,FALSE
7/12/1989,Paraguay,South America,Uruguay,South America,Uruguay,Enzo Francescoli,28,FALSE,FALSE
7/12/1989,Paraguay,South America,Uruguay,South America,Uruguay,Antonio Alzamendi,82,FALSE,FALSE
7/12/1989,Paraguay,South America,Uruguay,South America,Uruguay,Rubén Paz,89,FALSE,FALSE
7/14/1989,Argentina,South America,Uruguay,South America,Uruguay,Rubén Sosa,38,FALSE,FALSE
7/14/1989,Argentina,South America,Uruguay,South America,Uruguay,Rubén Sosa,81,FALSE,FALSE
7/14/1989,Brazil,South America,Paraguay,South America,Brazil,Bebeto,16,FALSE,FALSE
7/14/1989,Brazil,South America,Paraguay,South America,Brazil,Bebeto,52,FALSE,FALSE
7/14/1989,Brazil,South America,Paraguay,South America,Brazil,Romário,58,FALSE,FALSE
7/15/1989,China PR,Asia,Iran,Asia,China PR,Liu Haiguang,73,FALSE,FALSE
7/15/1989,China PR,Asia,Iran,Asia,China PR,Zhang Xiaowen,87,FALSE,FALSE
7/16/1989,Brazil,South America,Uruguay,South America,Brazil,Romário,49,FALSE,FALSE
7/22/1989,Iran,Asia,China PR,Asia,Iran,Mohsen Garousi,15,FALSE,FALSE
7/22/1989,Iran,Asia,China PR,Asia,Iran,Sayed Ali Eftekhari,16,FALSE,FALSE
7/22/1989,Iran,Asia,China PR,Asia,Iran,Farshad Pious,53,FALSE,FALSE
7/22/1989,Iran,Asia,China PR,Asia,China PR,Mai Chao,64,FALSE,TRUE
7/22/1989,Iran,Asia,China PR,Asia,China PR,Ma Lin,66,FALSE,FALSE
7/29/1989,China PR,Asia,Thailand,Asia,China PR,Jia Xiuquan,2,FALSE,FALSE
7/29/1989,China PR,Asia,Thailand,Asia,China PR,Ma Lin,4,FALSE,FALSE
7/30/1989,Venezuela,South America,Brazil,South America,Brazil,Branco,5,FALSE,FALSE
7/30/1989,Venezuela,South America,Brazil,South America,Brazil,Romário,65,FALSE,FALSE
7/30/1989,Venezuela,South America,Brazil,South America,Brazil,Bebeto,79,FALSE,FALSE
7/30/1989,Venezuela,South America,Brazil,South America,Brazil,Bebeto,81,FALSE,FALSE
8/6/1989,Venezuela,South America,Chile,South America,Chile,Jorge Aravena,5,FALSE,FALSE
8/6/1989,Venezuela,South America,Chile,South America,Chile,Jorge Aravena,33,FALSE,FALSE
8/6/1989,Venezuela,South America,Chile,South America,Venezuela,Ildemaro Fernández,65,FALSE,FALSE
8/6/1989,Venezuela,South America,Chile,South America,Chile,Iván Zamorano,71,FALSE,FALSE
8/12/1989,Egypt,Africa,Malawi,Africa,Egypt,Abdel Rasoul Hesham,28,FALSE,FALSE
8/12/1989,Kenya,Africa,Liberia,Africa,Kenya,George Onyango,24,FALSE,FALSE
8/12/1989,Nigeria,Africa,Angola,Africa,Nigeria,Stephen Keshi,44,FALSE,FALSE
8/13/1989,Cameroon,Africa,Gabon,Africa,Cameroon,André Kana-Biyik,32,FALSE,FALSE
8/13/1989,Cameroon,Africa,Gabon,Africa,Cameroon,Emile Mbouh,38,FALSE,FALSE
8/13/1989,Cameroon,Africa,Gabon,Africa,Gabon,Guy Roger Nzamba,78,FALSE,FALSE
8/13/1989,Chile,South America,Brazil,South America,Brazil,Hugo González,56,TRUE,FALSE
8/13/1989,Chile,South America,Brazil,South America,Chile,Ivo Basay,81,FALSE,FALSE
8/13/1989,DR Congo,Africa,Zambia,Africa,DR Congo,Eugène Kabongo,16,FALSE,FALSE
8/13/1989,Ivory Coast,Africa,Zimbabwe,Africa,Ivory Coast,Oumar Ben Salah,30,FALSE,FALSE
8/13/1989,Ivory Coast,Africa,Zimbabwe,Africa,Ivory Coast,Oumar Ben Salah,47,FALSE,FALSE
8/13/1989,Ivory Coast,Africa,Zimbabwe,Africa,Ivory Coast,Jean-Pierre Guede Akenon,71,FALSE,TRUE
8/13/1989,Ivory Coast,Africa,Zimbabwe,Africa,Ivory Coast,Yao Lambert Amani,81,FALSE,FALSE
8/13/1989,Ivory Coast,Africa,Zimbabwe,Africa,Ivory Coast,Sékou Bamba,89,FALSE,FALSE
8/20/1989,Bolivia,South America,Peru,South America,Peru,José del Solar,43,FALSE,FALSE
8/20/1989,Bolivia,South America,Peru,South America,Bolivia,José Milton Melgar,45,FALSE,TRUE
8/20/1989,Bolivia,South America,Peru,South America,Bolivia,William Ramallo,53,FALSE,FALSE
8/20/1989,Brazil,South America,Venezuela,South America,Brazil,Careca,10,FALSE,FALSE
8/20/1989,Brazil,South America,Venezuela,South America,Brazil,Careca,17,FALSE,FALSE
8/20/1989,Brazil,South America,Venezuela,South America,Brazil,Paulo Silas,37,FALSE,FALSE
8/20/1989,Brazil,South America,Venezuela,South America,Brazil,Pedro Acosta,39,TRUE,FALSE
8/20/1989,Brazil,South America,Venezuela,South America,Brazil,Careca,80,FALSE,FALSE
8/20/1989,Brazil,South America,Venezuela,South America,Brazil,Careca,86,FALSE,FALSE
8/20/1989,Colombia,South America,Ecuador,South America,Colombia,Arnoldo Iguarán,32,FALSE,FALSE
8/20/1989,Colombia,South America,Ecuador,South America,Colombia,Arnoldo Iguarán,72,FALSE,FALSE
8/23/1989,Austria,Europe,Iceland,Europe,Austria,Heimo Pfeifenberger,47,FALSE,FALSE
8/23/1989,Austria,Europe,Iceland,Europe,Iceland,Ragnar Margeirsson,48,FALSE,FALSE
8/23/1989,Austria,Europe,Iceland,Europe,Austria,Manfred Zsak,62,FALSE,FALSE
8/25/1989,Algeria,Africa,Ivory Coast,Africa,Algeria,Rabah Madjer,56,FALSE,FALSE
8/26/1989,Egypt,Africa,Kenya,Africa,Egypt,Abdel Rasoul Hesham,58,FALSE,FALSE
8/26/1989,Egypt,Africa,Kenya,Africa,Egypt,Ibrahim Hassan,62,FALSE,FALSE
8/27/1989,Cameroon,Africa,Nigeria,Africa,Cameroon,François Omam-Biyik,31,FALSE,FALSE
8/27/1989,Chile,South America,Venezuela,South America,Chile,Juan Carlos Letelier,14,FALSE,FALSE
8/27/1989,Chile,South America,Venezuela,South America,Chile,Juan Carlos Letelier,34,FALSE,FALSE
8/27/1989,Chile,South America,Venezuela,South America,Chile,Patricio Yáñez,44,FALSE,FALSE
8/27/1989,Chile,South America,Venezuela,South America,Chile,Juan Carlos Letelier,69,FALSE,FALSE
8/27/1989,Chile,South America,Venezuela,South America,Chile,Jaime Vera,84,FALSE,FALSE
8/27/1989,Gabon,Africa,Angola,Africa,Gabon,Joel Minko,24,FALSE,FALSE
8/27/1989,Morocco,Africa,DR Congo,Africa,DR Congo,Kuyangana Makukula,47,FALSE,FALSE
8/27/1989,Morocco,Africa,DR Congo,Africa,Morocco,Mohamed Madih,58,FALSE,FALSE
8/27/1989,Paraguay,South America,Colombia,South America,Paraguay,Javier Ferreira,48,FALSE,FALSE
8/27/1989,Paraguay,South America,Colombia,South America,Colombia,Arnoldo Iguarán,87,FALSE,FALSE
8/27/1989,Paraguay,South America,Colombia,South America,Paraguay,José Luis Chilavert,90,FALSE,TRUE
8/27/1989,Peru,South America,Uruguay,South America,Uruguay,Rubén Sosa,46,FALSE,FALSE
8/27/1989,Peru,South America,Uruguay,South America,Uruguay,Antonio Alzamendi,69,FALSE,FALSE
8/27/1989,Tunisia,Africa,Zambia,Africa,Tunisia,Mohamed Ali Mahjoubi,75,FALSE,FALSE
9/3/1989,Bolivia,South America,Uruguay,South America,Bolivia,Alfonso Domínguez,38,TRUE,FALSE
9/3/1989,Bolivia,South America,Uruguay,South America,Bolivia,Álvaro Peña,47,FALSE,FALSE
9/3/1989,Bolivia,South America,Uruguay,South America,Uruguay,Rubén Sosa,49,FALSE,FALSE
9/3/1989,Brazil,South America,Chile,South America,Brazil,Careca,49,FALSE,FALSE
9/5/1989,Norway,Europe,France,Europe,France,Jean-Pierre Papin,40,FALSE,TRUE
9/5/1989,Norway,Europe,France,Europe,Norway,Rune Bratseth,84,FALSE,FALSE
9/6/1989,Belgium,Europe,Portugal,Europe,Belgium,Jan Ceulemans,34,FALSE,FALSE
9/6/1989,Belgium,Europe,Portugal,Europe,Belgium,Marc Van Der Linden,59,FALSE,FALSE
9/6/1989,Belgium,Europe,Portugal,Europe,Belgium,Marc Van Der Linden,69,FALSE,FALSE
9/6/1989,Finland,Europe,Wales,Europe,Finland,Mika Lipponen,50,FALSE,FALSE
9/6/1989,Iceland,Europe,German DR,Europe,German DR,Matthias Sammer,55,FALSE,FALSE
9/6/1989,Iceland,Europe,German DR,Europe,German DR,Rainer Ernst,63,FALSE,FALSE
9/6/1989,Iceland,Europe,German DR,Europe,German DR,Thomas Doll,65,FALSE,FALSE
9/6/1989,Northern Ireland,Europe,Hungary,Europe,Hungary,Kálmán Kovács,13,FALSE,FALSE
9/6/1989,Northern Ireland,Europe,Hungary,Europe,Hungary,György Bognár,44,FALSE,FALSE
9/6/1989,Northern Ireland,Europe,Hungary,Europe,Northern Ireland,Norman Whiteside,89,FALSE,FALSE
9/6/1989,Yugoslavia,Europe,Scotland,Europe,Scotland,Gordon Durie,37,FALSE,FALSE
9/6/1989,Yugoslavia,Europe,Scotland,Europe,Yugoslavia,Srečko Katanec,52,FALSE,FALSE
9/6/1989,Yugoslavia,Europe,Scotland,Europe,Yugoslavia,Gary Gillespie,58,TRUE,FALSE
9/6/1989,Yugoslavia,Europe,Scotland,Europe,Yugoslavia,Zlatko Vujović,59,FALSE,FALSE
9/10/1989,Paraguay,South America,Ecuador,South America,Paraguay,Roberto Cabañas,36,FALSE,FALSE
9/10/1989,Paraguay,South America,Ecuador,South America,Paraguay,Javier Ferreira,67,FALSE,FALSE
9/10/1989,Paraguay,South America,Ecuador,South America,Ecuador,Raúl Avilés,84,FALSE,FALSE
9/10/1989,Peru,South America,Bolivia,South America,Bolivia,Tito Montaño,45,FALSE,FALSE
9/10/1989,Peru,South America,Bolivia,South America,Peru,Andrés Aurelio González,53,FALSE,FALSE
9/10/1989,Peru,South America,Bolivia,South America,Bolivia,Erwin Sánchez,77,FALSE,FALSE
9/17/1989,Colombia,South America,Paraguay,South America,Paraguay,Alfredo Mendoza,45,FALSE,FALSE
9/17/1989,Colombia,South America,Paraguay,South America,Colombia,Arnoldo Iguarán,56,FALSE,FALSE
9/17/1989,Colombia,South America,Paraguay,South America,Colombia,Rubén Darío Hernández,67,FALSE,FALSE
9/17/1989,Uruguay,South America,Bolivia,South America,Uruguay,Rubén Sosa,31,FALSE,FALSE
9/17/1989,Uruguay,South America,Bolivia,South America,Uruguay,Enzo Francescoli,39,FALSE,FALSE
9/20/1989,Iceland,Europe,Turkey,Europe/Asia,Iceland,Pétur Pétursson,56,FALSE,FALSE
9/20/1989,Iceland,Europe,Turkey,Europe/Asia,Iceland,Pétur Pétursson,72,FALSE,FALSE
9/20/1989,Iceland,Europe,Turkey,Europe/Asia,Turkey,Feyyaz Uçar,85,FALSE,FALSE
9/20/1989,Switzerland,Europe,Portugal,Europe,Switzerland,Kubilay Türkyilmaz,28,FALSE,TRUE
9/20/1989,Switzerland,Europe,Portugal,Europe,Portugal,Paulo Futre,74,FALSE,TRUE
9/20/1989,Switzerland,Europe,Portugal,Europe,Portugal,Rui Águas,77,FALSE,FALSE
9/24/1989,Ecuador,South America,Paraguay,South America,Paraguay,Gustavo Neffa,18,FALSE,FALSE
9/24/1989,Ecuador,South America,Paraguay,South America,Ecuador,Álex Aguinaga,26,FALSE,FALSE
9/24/1989,Ecuador,South America,Paraguay,South America,Ecuador,Pietro Marsetti,72,FALSE,FALSE
9/24/1989,Ecuador,South America,Paraguay,South America,Ecuador,Raúl Avilés,82,FALSE,FALSE
9/24/1989,Uruguay,South America,Peru,South America,Uruguay,Rubén Sosa,45,FALSE,FALSE
9/24/1989,Uruguay,South America,Peru,South America,Uruguay,Rubén Sosa,58,FALSE,FALSE
10/4/1989,Germany,Europe,Finland,Europe,Germany,Andreas Möller,12,FALSE,FALSE
10/4/1989,Germany,Europe,Finland,Europe,Germany,Pierre Littbarski,47,FALSE,FALSE
10/4/1989,Germany,Europe,Finland,Europe,Germany,Jürgen Klinsmann,53,FALSE,FALSE
10/4/1989,Germany,Europe,Finland,Europe,Germany,Rudi Völler,62,FALSE,FALSE
10/4/1989,Germany,Europe,Finland,Europe,Finland,Mika Lipponen,72,FALSE,FALSE
10/4/1989,Germany,Europe,Finland,Europe,Germany,Andreas Möller,80,FALSE,FALSE
10/4/1989,Germany,Europe,Finland,Europe,Germany,Lothar Matthäus,84,FALSE,TRUE
10/6/1989,Czechoslovakia,Europe,Portugal,Europe,Czechoslovakia,Michal Bílek,11,FALSE,TRUE
10/6/1989,Czechoslovakia,Europe,Portugal,Europe,Portugal,Rui Águas,74,FALSE,FALSE
10/6/1989,Czechoslovakia,Europe,Portugal,Europe,Czechoslovakia,Michal Bílek,82,FALSE,FALSE
10/8/1989,Cameroon,Africa,Tunisia,Africa,Cameroon,Louis-Paul M'Fédé,54,FALSE,FALSE
10/8/1989,Cameroon,Africa,Tunisia,Africa,Cameroon,Emmanuel Kundé,90,FALSE,FALSE
10/8/1989,German DR,Europe,Russia,Europe/Asia,Russia,Hennadiy Lytovchenko,74,FALSE,FALSE
10/8/1989,German DR,Europe,Russia,Europe/Asia,German DR,Andreas Thom,81,FALSE,FALSE
10/8/1989,German DR,Europe,Russia,Europe/Asia,German DR,Matthias Sammer,83,FALSE,FALSE
10/8/1989,Sweden,Europe,Albania,Europe,Albania,Sokol Kushta,8,FALSE,TRUE
10/8/1989,Sweden,Europe,Albania,Europe,Sweden,Mats Magnusson,20,FALSE,FALSE
10/8/1989,Sweden,Europe,Albania,Europe,Sweden,Klas Ingesson,55,FALSE,FALSE
10/8/1989,Sweden,Europe,Albania,Europe,Sweden,Leif Engqvist,89,FALSE,FALSE
10/11/1989,Bulgaria,Europe,Greece,Europe,Bulgaria,Trifon Ivanov,72,FALSE,FALSE
10/11/1989,Bulgaria,Europe,Greece,Europe,Bulgaria,Kalin Bankov,76,FALSE,FALSE
10/11/1989,Bulgaria,Europe,Greece,Europe,Bulgaria,Bozhidar Iskrenov,79,FALSE,FALSE
10/11/1989,Bulgaria,Europe,Greece,Europe,Bulgaria,Hristo Stoichkov,88,FALSE,FALSE
10/11/1989,Denmark,Europe,Romania,Europe,Denmark,Kent Nielsen,4,FALSE,FALSE
10/11/1989,Denmark,Europe,Romania,Europe,Denmark,Brian Laudrup,26,FALSE,FALSE
10/11/1989,Denmark,Europe,Romania,Europe,Denmark,Flemming Povlsen,85,FALSE,FALSE
10/11/1989,France,Europe,Scotland,Europe,France,Didier Deschamps,26,FALSE,FALSE
10/11/1989,France,Europe,Scotland,Europe,France,Eric Cantona,63,FALSE,FALSE
10/11/1989,France,Europe,Scotland,Europe,France,Jean-Philippe Durand,89,FALSE,FALSE
10/11/1989,Hungary,Europe,Spain,Europe,Spain,Julio Salinas,30,FALSE,FALSE
10/11/1989,Hungary,Europe,Spain,Europe,Spain,Míchel,35,FALSE,FALSE
10/11/1989,Hungary,Europe,Spain,Europe,Hungary,Attila Pintér,38,FALSE,FALSE
10/11/1989,Hungary,Europe,Spain,Europe,Hungary,Attila Pintér,82,FALSE,FALSE
10/11/1989,Luxembourg,Europe,Portugal,Europe,Portugal,Rui Águas,43,FALSE,FALSE
10/11/1989,Luxembourg,Europe,Portugal,Europe,Portugal,Rui Águas,53,FALSE,FALSE
10/11/1989,Luxembourg,Europe,Portugal,Europe,Portugal,Rui Barros,72,FALSE,FALSE
10/11/1989,Republic of Ireland,Europe,Northern Ireland,Europe,Republic of Ireland,Ronnie Whelan,42,FALSE,FALSE
10/11/1989,Republic of Ireland,Europe,Northern Ireland,Europe,Republic of Ireland,Tony Cascarino,48,FALSE,FALSE
10/11/1989,Republic of Ireland,Europe,Northern Ireland,Europe,Republic of Ireland,Ray Houghton,57,FALSE,FALSE
10/11/1989,Switzerland,Europe,Belgium,Europe,Switzerland,Adrian Knup,50,FALSE,FALSE
10/11/1989,Switzerland,Europe,Belgium,Europe,Belgium,Marc Degryse,58,FALSE,FALSE
10/11/1989,Switzerland,Europe,Belgium,Europe,Switzerland,Kubilay Türkyilmaz,68,FALSE,FALSE
10/11/1989,Switzerland,Europe,Belgium,Europe,Belgium,Alain Geiger,73,TRUE,FALSE
10/11/1989,Wales,Europe,Netherlands,Europe,Netherlands,Graeme Rutjes,13,FALSE,FALSE
10/11/1989,Wales,Europe,Netherlands,Europe,Netherlands,John Bosman,79,FALSE,FALSE
10/11/1989,Wales,Europe,Netherlands,Europe,Wales,Mark Bowen,89,FALSE,FALSE
10/11/1989,Yugoslavia,Europe,Norway,Europe,Yugoslavia,Faruk Hadžibegić,44,FALSE,TRUE
10/12/1989,China PR,Asia,Saudi Arabia,Asia,Saudi Arabia,Fahad Al-Bishi,24,FALSE,TRUE
10/12/1989,China PR,Asia,Saudi Arabia,Asia,China PR,Mai Chao,63,FALSE,TRUE
10/12/1989,China PR,Asia,Saudi Arabia,Asia,China PR,Mai Chao,70,FALSE,FALSE
10/15/1989,Colombia,South America,Israel,Asia,Colombia,Albeiro Usuriaga,73,FALSE,FALSE
10/16/1989,Qatar,Asia,Saudi Arabia,Asia,Saudi Arabia,Mohammed Al-Suwaiti,4,FALSE,FALSE
10/16/1989,Qatar,Asia,Saudi Arabia,Asia,Qatar,Mansour Muftah,87,FALSE,FALSE
10/16/1989,South Korea,Asia,North Korea,Asia,South Korea,Hwang Sun-hong,18,FALSE,FALSE
10/17/1989,China PR,Asia,United Arab Emirates,Asia,China PR,Tang Yaodong,61,FALSE,FALSE
10/17/1989,China PR,Asia,United Arab Emirates,Asia,United Arab Emirates,Khaleel Mubarak,87,FALSE,FALSE
10/17/1989,China PR,Asia,United Arab Emirates,Asia,United Arab Emirates,Adnan Al Talyani,88,FALSE,FALSE
10/20/1989,China PR,Asia,South Korea,Asia,South Korea,Kim Joo-sung,67,FALSE,FALSE
10/20/1989,North Korea,Asia,Qatar,Asia,North Korea,Kim Pung-Il,23,FALSE,FALSE
10/20/1989,North Korea,Asia,Qatar,Asia,North Korea,Chu Gyong-Sik,32,FALSE,FALSE
10/24/1989,North Korea,Asia,China PR,Asia,China PR,Xie Yuxin,67,FALSE,FALSE
10/24/1989,United Arab Emirates,Asia,Qatar,Asia,United Arab Emirates,Khaleel Mubarak,20,FALSE,FALSE
10/24/1989,United Arab Emirates,Asia,Qatar,Asia,Qatar,Mansour Sulaiti,37,FALSE,FALSE
10/25/1989,Belgium,Europe,Luxembourg,Europe,Belgium,Bruno Versavel,7,FALSE,FALSE
10/25/1989,Belgium,Europe,Luxembourg,Europe,Luxembourg,Guy Hellers,88,FALSE,FALSE
10/25/1989,Czechoslovakia,Europe,Switzerland,Europe,Czechoslovakia,Tomáš Skuhravý,17,FALSE,FALSE
10/25/1989,Czechoslovakia,Europe,Switzerland,Europe,Czechoslovakia,Michal Bílek,86,FALSE,FALSE
10/25/1989,Czechoslovakia,Europe,Switzerland,Europe,Czechoslovakia,Ľubomír Moravčík,88,FALSE,FALSE
10/25/1989,Poland,Europe,Sweden,Europe,Sweden,Peter Larsson,34,FALSE,TRUE
10/25/1989,Poland,Europe,Sweden,Europe,Sweden,Johnny Ekström,60,FALSE,FALSE
10/25/1989,Saudi Arabia,Asia,South Korea,Asia,South Korea,Hwangbo Kwan,42,FALSE,FALSE
10/25/1989,Saudi Arabia,Asia,South Korea,Asia,South Korea,Hwang Sun-hong,89,FALSE,FALSE
10/25/1989,Turkey,Europe/Asia,Austria,Europe,Turkey,Rıdvan Dilmen,12,FALSE,FALSE
10/25/1989,Turkey,Europe/Asia,Austria,Europe,Turkey,Rıdvan Dilmen,52,FALSE,FALSE
10/25/1989,Turkey,Europe/Asia,Austria,Europe,Turkey,Feyyaz Uçar,60,FALSE,FALSE
10/28/1989,Cyprus,Europe,Yugoslavia,Europe,Yugoslavia,Vujadin Stanojković,5,FALSE,FALSE
10/28/1989,Cyprus,Europe,Yugoslavia,Europe,Cyprus,Pambos Pittas,38,FALSE,TRUE
10/28/1989,Cyprus,Europe,Yugoslavia,Europe,Yugoslavia,Darko Pančev,49,FALSE,FALSE
10/28/1989,Qatar,Asia,China PR,Asia,China PR,Ma Lin,76,FALSE,FALSE
10/28/1989,Qatar,Asia,China PR,Asia,Qatar,Mahmoud Yaseen Al-Soufi,87,FALSE,FALSE
10/28/1989,Qatar,Asia,China PR,Asia,Qatar,Mansour Muftah,87,FALSE,FALSE
10/28/1989,Saudi Arabia,Asia,North Korea,Asia,Saudi Arabia,Fahad Al-Musaibeah,13,FALSE,FALSE
10/28/1989,Saudi Arabia,Asia,North Korea,Asia,Saudi Arabia,Saado Al-Suwaiti,57,FALSE,FALSE
10/28/1989,United Arab Emirates,Asia,South Korea,Asia,South Korea,Hwangbo Kwan,8,FALSE,FALSE
10/28/1989,United Arab Emirates,Asia,South Korea,Asia,United Arab Emirates,Adnan Al Talyani,16,FALSE,FALSE
11/15/1989,Albania,Europe,Poland,Europe,Poland,Ryszard Tarasiewicz,45,FALSE,FALSE
11/15/1989,Albania,Europe,Poland,Europe,Albania,Sokol Kushta,63,FALSE,FALSE
11/15/1989,Albania,Europe,Poland,Europe,Poland,Jacek Ziober,85,FALSE,FALSE
11/15/1989,Austria,Europe,German DR,Europe,Austria,Toni Polster,2,FALSE,FALSE
11/15/1989,Austria,Europe,German DR,Europe,Austria,Toni Polster,23,FALSE,TRUE
11/15/1989,Austria,Europe,German DR,Europe,Austria,Toni Polster,61,FALSE,FALSE
11/15/1989,Germany,Europe,Wales,Europe,Wales,Malcolm Allen,11,FALSE,FALSE
11/15/1989,Germany,Europe,Wales,Europe,Germany,Rudi Völler,25,FALSE,FALSE
11/15/1989,Germany,Europe,Wales,Europe,Germany,Thomas Häßler,48,FALSE,FALSE
11/15/1989,Greece,Europe,Bulgaria,Europe,Greece,Nikos Nioplias,49,FALSE,FALSE
11/15/1989,Malta,Europe,Republic of Ireland,Europe,Republic of Ireland,John Aldridge,31,FALSE,FALSE
11/15/1989,Malta,Europe,Republic of Ireland,Europe,Republic of Ireland,John Aldridge,68,FALSE,TRUE
11/15/1989,Netherlands,Europe,Finland,Europe,Netherlands,John Bosman,57,FALSE,FALSE
11/15/1989,Netherlands,Europe,Finland,Europe,Netherlands,Erwin Koeman,62,FALSE,FALSE
11/15/1989,Netherlands,Europe,Finland,Europe,Netherlands,Ronald Koeman,69,FALSE,TRUE
11/15/1989,Romania,Europe,Denmark,Europe,Denmark,Flemming Povlsen,6,FALSE,FALSE
11/15/1989,Romania,Europe,Denmark,Europe,Romania,Gavril Balint,25,FALSE,FALSE
11/15/1989,Romania,Europe,Denmark,Europe,Romania,Ioan Sabău,38,FALSE,FALSE
11/15/1989,Romania,Europe,Denmark,Europe,Romania,Gavril Balint,61,FALSE,FALSE
11/15/1989,Russia,Europe/Asia,Turkey,Europe/Asia,Russia,Oleh Protasov,68,FALSE,FALSE
11/15/1989,Russia,Europe/Asia,Turkey,Europe/Asia,Russia,Oleh Protasov,79,FALSE,FALSE
11/15/1989,Scotland,Europe,Norway,Europe,Scotland,Ally McCoist,44,FALSE,FALSE
11/15/1989,Scotland,Europe,Norway,Europe,Norway,Erland Johnsen,89,FALSE,FALSE
11/15/1989,Spain,Europe,Hungary,Europe,Spain,Manolo,7,FALSE,FALSE
11/15/1989,Spain,Europe,Hungary,Europe,Spain,Emilio Butragueño,24,FALSE,FALSE
11/15/1989,Spain,Europe,Hungary,Europe,Spain,Juan Francisco Rodríguez Herrera,40,FALSE,FALSE
11/15/1989,Spain,Europe,Hungary,Europe,Spain,Fernando Gómez Colomer,63,FALSE,FALSE
11/15/1989,Switzerland,Europe,Luxembourg,Europe,Luxembourg,Théo Malget,14,FALSE,FALSE
11/15/1989,Switzerland,Europe,Luxembourg,Europe,Switzerland,Christophe Bonvin,54,FALSE,FALSE
11/15/1989,Switzerland,Europe,Luxembourg,Europe,Switzerland,Kubilay Türkyilmaz,62,FALSE,FALSE
11/17/1989,Egypt,Africa,Algeria,Africa,Egypt,Hossam Hassan,4,FALSE,FALSE
11/18/1989,France,Europe,Cyprus,Europe,France,Didier Deschamps,25,FALSE,FALSE
11/18/1989,France,Europe,Cyprus,Europe,France,Laurent Blanc,75,FALSE,FALSE
11/19/1989,Tunisia,Africa,Cameroon,Africa,Cameroon,François Omam-Biyik,14,FALSE,FALSE
3/2/1990,Algeria,Africa,Nigeria,Africa,Algeria,Rabah Madjer,36,FALSE,FALSE
3/2/1990,Algeria,Africa,Nigeria,Africa,Algeria,Rabah Madjer,58,FALSE,FALSE
3/2/1990,Algeria,Africa,Nigeria,Africa,Algeria,Djamel Menad,69,FALSE,FALSE
3/2/1990,Algeria,Africa,Nigeria,Africa,Algeria,Djamel Menad,72,FALSE,FALSE
3/2/1990,Algeria,Africa,Nigeria,Africa,Nigeria,Emmanuel Okocha,82,FALSE,FALSE
3/2/1990,Algeria,Africa,Nigeria,Africa,Algeria,Djamel Amani,88,FALSE,FALSE
3/2/1990,Ivory Coast,Africa,Egypt,Africa,Ivory Coast,Abdoulaye Traoré,53,FALSE,FALSE
3/2/1990,Ivory Coast,Africa,Egypt,Africa,Ivory Coast,Abdoulaye Traoré,60,FALSE,FALSE
3/2/1990,Ivory Coast,Africa,Egypt,Africa,Ivory Coast,Serge Maguy,73,FALSE,FALSE
3/2/1990,Ivory Coast,Africa,Egypt,Africa,Egypt,Adel Abdelrahman,75,FALSE,FALSE
3/3/1990,Cameroon,Africa,Zambia,Africa,Zambia,Webster Chikabala,58,FALSE,FALSE
3/5/1990,Algeria,Africa,Ivory Coast,Africa,Algeria,Djamel Menad,23,FALSE,FALSE
