date,home_team,home_continent,away_team,away_continent,team,scorer,minute,own_goal,penalty
5/26/1919,Brazil,South America,Uruguay,South America,Brazil,Neco,63,FALSE,FALSE
5/29/1919,Brazil,South America,Uruguay,South America,Brazil,Arthur Friedenreich,122,FALSE,FALSE
9/11/1920,Chile,South America,Brazil,South America,Brazil,Ismael Alvariza,53,FALSE,FALSE
9/12/1920,Uruguay,South America,Argentina,South America,Uruguay,José Piendibene,10,FALSE,FALSE
9/12/1920,Uruguay,South America,Argentina,South America,Argentina,Raúl Echeverría,75,FALSE,FALSE
9/18/1920,Brazil,South America,Uruguay,South America,Uruguay,Ángel Romano,23,FALSE,FALSE
9/18/1920,Brazil,South America,Uruguay,South America,Uruguay,Antonio Urdinarán,26,FALSE,TRUE
9/18/1920,Brazil,South America,Uruguay,South America,Uruguay,José Pérez,29,FALSE,FALSE
9/18/1920,Brazil,South America,Uruguay,South America,Uruguay,Antonio Campolo,48,FALSE,FALSE
9/18/1920,Brazil,South America,Uruguay,South America,Uruguay,Ángel Romano,60,FALSE,FALSE
9/18/1920,Brazil,South America,Uruguay,South America,Uruguay,José Pérez,65,FALSE,FALSE
9/20/1920,Chile,South America,Argentina,South America,Argentina,Miguel Dellavalle,13,FALSE,FALSE
9/20/1920,Chile,South America,Argentina,South America,Chile,Hernando Bolados,30,FALSE,FALSE
9/25/1920,Argentina,South America,Brazil,South America,Argentina,Raúl Echeverría,40,FALSE,FALSE
9/25/1920,Argentina,South America,Brazil,South America,Argentina,Julio Libonatti,73,FALSE,FALSE
10/3/1920,Chile,South America,Uruguay,South America,Uruguay,Ángel Romano,37,FALSE,FALSE
10/3/1920,Chile,South America,Uruguay,South America,Chile,Aurelio Domínguez,60,FALSE,FALSE
10/3/1920,Chile,South America,Uruguay,South America,Uruguay,José Pérez,65,FALSE,FALSE
10/2/1921,Argentina,South America,Brazil,South America,Argentina,Julio Libonatti,27,FALSE,FALSE
10/9/1921,Paraguay,South America,Uruguay,South America,Paraguay,Gerardo Rivas,9,FALSE,FALSE
10/9/1921,Paraguay,South America,Uruguay,South America,Paraguay,Ildefonso López,66,FALSE,FALSE
10/9/1921,Paraguay,South America,Uruguay,South America,Uruguay,José Piendibene,83,FALSE,FALSE
10/12/1921,Brazil,South America,Paraguay,South America,Brazil,Ernesto Duarte Machado da Silva,21,FALSE,FALSE
10/12/1921,Brazil,South America,Paraguay,South America,Brazil,Ernesto Duarte Machado da Silva,44,FALSE,FALSE
10/12/1921,Brazil,South America,Paraguay,South America,Brazil,Aníbal Médicis Candiota,46,FALSE,FALSE
10/16/1921,Argentina,South America,Paraguay,South America,Argentina,Julio Libonatti,1,FALSE,FALSE
10/16/1921,Argentina,South America,Paraguay,South America,Argentina,Blas Saruppo,71,FALSE,FALSE
10/16/1921,Argentina,South America,Paraguay,South America,Argentina,Raúl Echeverría,76,FALSE,FALSE
10/23/1921,Brazil,South America,Uruguay,South America,Uruguay,Ángel Romano,1,FALSE,FALSE
10/23/1921,Brazil,South America,Uruguay,South America,Uruguay,Ángel Romano,8,FALSE,FALSE
10/23/1921,Brazil,South America,Uruguay,South America,Brazil,José Carlos Guimarães,53,FALSE,FALSE
10/30/1921,Argentina,South America,Uruguay,South America,Argentina,Julio Libonatti,57,FALSE,FALSE
9/17/1922,Brazil,South America,Chile,South America,Brazil,Altino Marcondes,9,FALSE,FALSE
9/17/1922,Brazil,South America,Chile,South America,Chile,Manuel Bravo Paredes,41,FALSE,FALSE
9/23/1922,Chile,South America,Uruguay,South America,Uruguay,Juan Carlos Heguy,10,FALSE,FALSE
9/23/1922,Chile,South America,Uruguay,South America,Uruguay,Antonio Urdinarán,19,FALSE,TRUE
9/24/1922,Brazil,South America,Paraguay,South America,Brazil,Amílcar Barbuy,14,FALSE,FALSE
9/24/1922,Brazil,South America,Paraguay,South America,Paraguay,Gerardo Rivas,71,FALSE,FALSE
9/28/1922,Argentina,South America,Chile,South America,Argentina,Angel Chiessa,10,FALSE,FALSE
9/28/1922,Argentina,South America,Chile,South America,Argentina,Julio Francia,36,FALSE,FALSE
9/28/1922,Argentina,South America,Chile,South America,Argentina,Julio Francia,41,FALSE,FALSE
9/28/1922,Argentina,South America,Chile,South America,Argentina,José Gaslini,75,FALSE,FALSE
10/5/1922,Chile,South America,Paraguay,South America,Paraguay,Julio Ramírez,5,FALSE,FALSE
10/5/1922,Chile,South America,Paraguay,South America,Paraguay,Ildefonso López,78,FALSE,FALSE
10/5/1922,Chile,South America,Paraguay,South America,Paraguay,Luis Fretes,86,FALSE,FALSE
10/8/1922,Argentina,South America,Uruguay,South America,Uruguay,Felipe Buffoni,43,FALSE,FALSE
10/12/1922,Paraguay,South America,Uruguay,South America,Paraguay,Carlos Elizeche,7,FALSE,FALSE
10/15/1922,Brazil,South America,Argentina,South America,Brazil,Neco,42,FALSE,FALSE
10/15/1922,Brazil,South America,Argentina,South America,Brazil,Amílcar Barbuy,86,FALSE,TRUE
10/18/1922,Argentina,South America,Paraguay,South America,Argentina,Julio Francia,63,FALSE,FALSE
10/18/1922,Argentina,South America,Paraguay,South America,Argentina,Julio Francia,79,FALSE,TRUE
10/22/1922,Brazil,South America,Paraguay,South America,Brazil,Neco,11,FALSE,FALSE
10/22/1922,Brazil,South America,Paraguay,South America,Brazil,Xavier Camargo,48,FALSE,FALSE
10/22/1922,Brazil,South America,Paraguay,South America,Brazil,Xavier Camargo,89,FALSE,FALSE
